review,classification,prediction,match,classifier_decision,probabilities,source
I had called in advance to see if they offered non-dairy milk and was told they had soy and almond...Yasss!,positive,positive,True,positive,"[0.0067187948152422905, 0.12026865035295486, 0.8730125427246094]",dynasent_r1
EVERY SINGLE ITEM WAS INEDIBLE.,negative,negative,True,negative,"[0.9962775111198425, 0.0008909022435545921, 0.0028316378593444824]",dynasent_r1
Rooms are small.,negative,negative,True,negative,"[0.9880671501159668, 0.0057336497120559216, 0.006199276074767113]",dynasent_r1
"Without resorting to hyperbole , I can state that Kissing Jessica Stein may be the best same-sex romance I have seen .",positive,positive,True,positive,"[0.0005525431479327381, 0.00032680953154340386, 0.9991206526756287]",sst_local
Used a $12 Groupon deal (to cover $20 meal).,neutral,neutral,True,neutral,"[8.027169678825885e-05, 0.9932464361190796, 0.006673277355730534]",dynasent_r1
An endearingly offbeat romantic comedy with a great meet-cute gimmick .,positive,positive,True,positive,"[9.15168868687033e-07, 0.0028260278049856424, 0.9971729516983032]",sst_local
Came to Vegas for our 1 year anniversary.,neutral,neutral,True,neutral,"[0.0002598925493657589, 0.9627350568771362, 0.037005018442869186]",dynasent_r1
When I first got this company for my house for cable I was very happy.,positive,positive,True,positive,"[3.054467470064992e-06, 4.017122046207078e-05, 0.9999567270278931]",dynasent_r1
There's not a whole lot to say about this place other than the fact that you should already be eating there.,positive,positive,True,positive,"[0.279592901468277, 0.2877163589000702, 0.4326907694339752]",dynasent_r1
"It did, however offer up a fun variety of cougars and possums, though!",positive,positive,True,positive,"[0.015926796942949295, 0.007005682215094566, 0.9770675897598267]",dynasent_r1
this story.,neutral,neutral,True,neutral,"[0.0017170353094115853, 0.9770119786262512, 0.021271031349897385]",dynasent_r1
How is possible?,neutral,neutral,True,neutral,"[0.014313210733234882, 0.8608730435371399, 0.12481371313333511]",dynasent_r1
"She answered the phone by saying ""yeah?"".",negative,neutral,False,neutral,"[0.0007195301004685462, 0.9850078821182251, 0.014272591099143028]",dynasent_r1
"For its seriousness , high literary aspirations and stunning acting , the film can only be applauded .",positive,positive,True,positive,"[1.300991698371945e-06, 0.0005567378248088062, 0.999441921710968]",sst_local
I glanced one look down the dress and up at the full length mirror and just sobbed.,negative,negative,True,negative,"[0.9766968488693237, 0.015353900380432606, 0.007949281483888626]",dynasent_r1
We are staying at a hotel on King Street.,neutral,neutral,True,neutral,"[0.00010895453306147829, 0.987027645111084, 0.012863344512879848]",dynasent_r1
"I'm currently being treated at Jackson Physical Therapy for an injury sustained during the Las Vegas Route 91 Shooting on October 1, 2017.",neutral,neutral,True,neutral,"[0.000131217748275958, 0.9975441098213196, 0.0023245953489094973]",dynasent_r1
It's a shame the former shop and owner were always someone and somewhere I could bring my pet.,negative,negative,True,negative,"[0.9290601015090942, 0.027924073860049248, 0.04301581159234047]",dynasent_r1
"Now, I could be wrong, but isn't it the insurance agents job to make you feel like you are being taken care of?",negative,neutral,False,neutral,"[0.3310227394104004, 0.6651564240455627, 0.0038208886981010437]",dynasent_r1
"I had been to Brake Masters before, but never this location.",neutral,neutral,True,neutral,"[0.000282013148535043, 0.9932664632797241, 0.006451489869505167]",dynasent_r1
