review,classification,prediction,match,classifier_decision,probabilities,source
I had called in advance to see if they offered non-dairy milk and was told they had soy and almond...Yasss!,positive,positive,True,positive,"[0.00016005156794562936, 0.011023972183465958, 0.9888159036636353]",dynasent_r1
EVERY SINGLE ITEM WAS INEDIBLE.,negative,negative,True,negative,"[0.9984788298606873, 0.00029454255127348006, 0.0012266229605302215]",dynasent_r1
Rooms are small.,negative,negative,True,negative,"[0.9978976249694824, 0.0008183410973288119, 0.0012840935960412025]",dynasent_r1
"Without resorting to hyperbole , I can state that Kissing Jessica Stein may be the best same-sex romance I have seen .",positive,positive,True,positive,"[0.0005154199316166341, 0.00011785303649958223, 0.999366819858551]",sst_local
Used a $12 Groupon deal (to cover $20 meal).,neutral,neutral,True,neutral,"[0.00032971406471915543, 0.9733460545539856, 0.026324240490794182]",dynasent_r1
An endearingly offbeat romantic comedy with a great meet-cute gimmick .,positive,positive,True,positive,"[3.554773866198957e-05, 0.0004015358572360128, 0.9995629191398621]",sst_local
Came to Vegas for our 1 year anniversary.,neutral,neutral,True,neutral,"[0.00024993979604914784, 0.926611065864563, 0.07313895970582962]",dynasent_r1
When I first got this company for my house for cable I was very happy.,positive,positive,True,positive,"[0.00010698685946408659, 0.0002271572157042101, 0.9996658563613892]",dynasent_r1
There's not a whole lot to say about this place other than the fact that you should already be eating there.,positive,positive,True,positive,"[0.005671575665473938, 0.001967010088264942, 0.9923614263534546]",dynasent_r1
"It did, however offer up a fun variety of cougars and possums, though!",positive,positive,True,positive,"[0.026554064825177193, 0.030536385253071785, 0.9429095387458801]",dynasent_r1
this story.,neutral,neutral,True,neutral,"[0.006609850097447634, 0.9683073163032532, 0.025082867592573166]",dynasent_r1
How is possible?,neutral,neutral,True,neutral,"[0.021250536665320396, 0.957855224609375, 0.020894253626465797]",dynasent_r1
"She answered the phone by saying ""yeah?"".",negative,neutral,False,neutral,"[0.04023057967424393, 0.938576877117157, 0.02119256742298603]",dynasent_r1
"For its seriousness , high literary aspirations and stunning acting , the film can only be applauded .",positive,positive,True,positive,"[7.214212382677943e-05, 7.815419667167589e-05, 0.9998496770858765]",sst_local
I glanced one look down the dress and up at the full length mirror and just sobbed.,negative,negative,True,negative,"[0.7584256529808044, 0.2233070582151413, 0.018267253413796425]",dynasent_r1
We are staying at a hotel on King Street.,neutral,neutral,True,neutral,"[0.0004076547920703888, 0.971515417098999, 0.028076959773898125]",dynasent_r1
"I'm currently being treated at Jackson Physical Therapy for an injury sustained during the Las Vegas Route 91 Shooting on October 1, 2017.",neutral,neutral,True,neutral,"[0.0035907397978007793, 0.9856908917427063, 0.010718363337218761]",dynasent_r1
It's a shame the former shop and owner were always someone and somewhere I could bring my pet.,negative,negative,True,negative,"[0.967022180557251, 0.006991059985011816, 0.025986770167946815]",dynasent_r1
"Now, I could be wrong, but isn't it the insurance agents job to make you feel like you are being taken care of?",negative,neutral,False,neutral,"[0.37065377831459045, 0.6071980595588684, 0.02214816026389599]",dynasent_r1
"I had been to Brake Masters before, but never this location.",neutral,neutral,True,neutral,"[0.0003725090646184981, 0.9765641689300537, 0.023063337430357933]",dynasent_r1
"Parking was so easy, too easy in fact.",positive,positive,True,positive,"[0.008792665787041187, 0.00044534416520036757, 0.990761935710907]",dynasent_r1
Shoved the lower tier members aside.,negative,negative,True,negative,"[0.9918615818023682, 0.004532151855528355, 0.003606316866353154]",dynasent_r2
We had the beet tartare to start.,neutral,neutral,True,neutral,"[0.000423004588810727, 0.974105954170227, 0.025471000000834465]",dynasent_r1
"Th food was also very cold, as it's ice cream.",neutral,negative,False,neutral,"[0.040099721401929855, 0.6806568503379822, 0.2792434096336365]",dynasent_r2
"Yeah , these flicks are just that damn good .",positive,positive,True,positive,"[0.00011799744970630854, 0.00018813350470736623, 0.9996938705444336]",sst_local
#FlawlessLifeSTyle,neutral,neutral,True,neutral,"[0.013455367647111416, 0.8306266069412231, 0.15591800212860107]",dynasent_r1
"Not as distinctive or even as humorous as its needs to be to stand out , but it has clearly been made with affection and care .",neutral,neutral,True,neutral,"[0.12577886879444122, 0.5006912350654602, 0.37352991104125977]",sst_local
I booked a Go Deluxe room back in March for July 18 - 21.,neutral,neutral,True,neutral,"[0.00022980287030804902, 0.9681159853935242, 0.03165418282151222]",dynasent_r1
It would have benefitted the dialogue .,neutral,neutral,True,neutral,"[0.06236802041530609, 0.7086086273193359, 0.22902333736419678]",sst_local
"A gorgeous , somnolent show that is splendidly mummified and thoroughly unsurprising .",neutral,negative,False,positive,"[0.050102490931749344, 0.3399304449558258, 0.6099671125411987]",sst_local
Way better for sure!,positive,positive,True,positive,"[0.00037097817403264344, 0.0003144984948448837, 0.999314546585083]",dynasent_r1
The staff here are definitely not afraid of arguing/lashing out at customers.,negative,negative,True,negative,"[0.99455726146698, 0.0004906567046418786, 0.004952144343405962]",dynasent_r1
Other reviews mention that the service is bad or rude.,negative,negative,True,negative,"[0.9845736622810364, 0.01414842065423727, 0.0012779631651937962]",dynasent_r1
It 's a movie -- and an album -- you wo n't want to miss .,positive,positive,True,positive,"[0.010159541852772236, 0.0018477954436093569, 0.9879926443099976]",sst_local
"So this is my official first review on Yelp, I use yelp all the time but never really felt like writing a review until now!",neutral,neutral,True,neutral,"[0.000167152815265581, 0.9641909599304199, 0.03564184159040451]",dynasent_r1
Personalization: Using the customer's name is very effective in producing loyalty.,neutral,positive,False,positive,"[0.0023254279512912035, 0.09304796159267426, 0.9046266078948975]",dynasent_r1
Only two words will tell you what you know when deciding to see it : Anthony .,neutral,neutral,True,neutral,"[0.004662979394197464, 0.7182350754737854, 0.27710193395614624]",sst_local
So we went back to Best Buy but here in Las Vegas and I was nervous Because it had been more than 30days.,neutral,negative,False,negative,"[0.616031289100647, 0.3778163492679596, 0.006152345798909664]",dynasent_r1
A ponderous meditation on love that feels significantly longer than its relatively scant 97 minutes .,neutral,negative,False,positive,"[0.0033524837344884872, 0.22933895885944366, 0.7673085331916809]",sst_local
Last time I went in was about a year ago and the layout was very big and open like they didn't have a lot of merchandise out on the floor.,negative,neutral,False,neutral,"[0.012451491318643093, 0.8406031727790833, 0.14694532752037048]",dynasent_r1
"Unfortunately , Heartbreak Hospital wants to convey the same kind of haughtiness in its own sketchy material but this territory has already been explored previously with better aplomb and sardonic wit .",negative,negative,True,negative,"[0.8542177677154541, 0.14322756230831146, 0.002554666716605425]",sst_local
Anything is possible.,neutral,neutral,True,neutral,"[0.002559701446443796, 0.7882917523384094, 0.2091485559940338]",dynasent_r1
... Hudlin is stuck trying to light a fire with soggy leaves .,negative,negative,True,negative,"[0.5799725651741028, 0.41238200664520264, 0.007645433768630028]",sst_local
The film overcomes the regular minefield of coming-of-age cliches with potent doses of honesty and sensitivity .,positive,positive,True,positive,"[0.00021400915284175426, 0.0035252191592007875, 0.9962607026100159]",sst_local
"The thriller side of this movie is falling flat , as the stalker does n't do much stalking , and no cop or lawyer grasps the concept of actually investigating the case .",negative,negative,True,negative,"[0.9970093369483948, 0.0025813819374889135, 0.0004093100724276155]",sst_local
I reached out to Hillside via Yelp's message system.,neutral,neutral,True,neutral,"[0.0006857680855318904, 0.98636394739151, 0.012950357049703598]",dynasent_r1
I made reservations for a bigger party (14 people) and had these reservations well over one month in advance.,neutral,neutral,True,neutral,"[0.0023516579531133175, 0.973884105682373, 0.02376423217356205]",dynasent_r1
"I was in a hit and run around X-Mas, cops told me I could keep my car on the road til I got it to a repair shop, car was towed HOURS after my accident, I couldn't do much being on a bed recovering.",negative,neutral,False,neutral,"[0.4167135953903198, 0.5614311695098877, 0.02185528352856636]",dynasent_r1
Mr. Wedge and Mr. Saldanha handle the mix of verbal jokes and slapstick well .,positive,positive,True,positive,"[0.00016615581989753991, 0.0011807526461780071, 0.9986530542373657]",sst_local
