round,legacy_id,id,name,model,gpt,electra,description,merged_f1,merged_accuracy,dyn1_f1,dyn1_accuracy,dyn2_f1,dyn2_accuracy,sst_f1,sst_accuracy,ft_cost,cost_per_f1,tokens,rate,gpt_ft_cost,electra_ft_cost,merged_f1_mean,merged_accuracy_mean,dyn1_f1_mean,dyn1_accuracy_mean,dyn2_f1_mean,dyn2_accuracy_mean,sst_f1_mean,sst_accuracy_mean,merged_f1_std,merged_accuracy_std,dyn1_f1_std,dyn1_accuracy_std,dyn2_f1_std,dyn2_accuracy_std,sst_f1_std,sst_accuracy_std
1,B1-EB,B1,"B1: Baseline, Classifier head",ELECTRA Base,—,ELECTRA Base,"Baseline, Classifier head",69.65,69.83,70.96,71.28,61.59,61.67,60.85,70.14,$0.65,$0.0093,,,,$0.00,69.51,69.69999999999999,70.85499999999999,71.195,61.39,61.46,60.595,69.955,0.1979898987322341,0.18384776310850096,0.14849242404916552,0.12020815280170925,0.28284271247462306,0.2969848480983512,0.3606244584051353,0.26162950903902576
1,B2-EL,B2,"B2: Baseline, Classifier head",ELECTRA Large,—,ELECTRA Large,"Baseline, Classifier head",67.88,68.06,69.72,70.06,59.78,59.72,57.68,67.51,$2.51,$0.0370,,,,$0.00,67.935,68.105,69.695,70.045,59.78,59.72,57.945,67.67,0.0777817459305148,0.06363961030679169,0.03535533905932034,0.02121320343559723,0.0,0.0,0.37476659402887097,0.22627416997969038
1,B3-G4OM,B3,B3: Baseline (Zero shot),GPT-4o-mini,gpt-4o-mini,,Baseline (Zero shot),79.52,80.34,81.12,81.0,77.35,77.92,70.67,80.05,$0.00,$0.0000,0,3.0,$0.00,$0.00,79.405,80.245,81.155,81.03999999999999,77.02,77.64,69.985,79.8,0.1626345596728987,0.13435028842544242,0.0494974746830535,0.05656854249492762,0.46669047558311894,0.3959797974644682,0.9687362902255733,0.3535533905932738
1,B4-G4O,B4,B4: Baseline (Zero shot),GPT-4o,gpt-4o,,Baseline (Zero shot),80.14,80.74,81.12,80.94,80.22,80.56,72.2,80.45,$0.00,$0.0000,0,25.0,$0.00,$0.00,79.97,80.60499999999999,80.945,80.775,80.13499999999999,80.49000000000001,72.08,80.36,0.24041630560342858,0.19091883092036,0.24748737341529264,0.2333452377915645,0.12020815280170925,0.09899494936612208,0.16970562748477783,0.12727922061358338
1,E1-EBFT,E1,E1: Fine-tune all layers,ELECTRA Base,—,ELECTRA Base FT,Fine-tune all layers,79.29,79.69,82.1,82.14,71.83,71.94,69.95,78.24,$9.73,$0.1227,,,,$9.73,79.135,79.57499999999999,82.115,82.16499999999999,70.67,70.83,69.03999999999999,78.215,0.21920310216783134,0.16263455967290372,0.02121320343559723,0.035355339059330394,1.6404877323527856,1.5697770542341347,1.2869343417595167,0.035355339059330394
1,E2-ELFT,E2,E2: Fine-tune all layers,ELECTRA Large,—,ELECTRA Large FT,Fine-tune all layers,82.36,82.96,85.91,85.83,76.29,76.53,70.9,80.36,$53.26,$0.6467,,,,$53.26,82.75999999999999,83.335,86.22,86.13499999999999,77.325,77.57,71.765,80.63499999999999,0.565685424949241,0.5303300858899106,0.4384062043356627,0.4313351365237986,1.4637110370561486,1.4707821048680227,1.22329473145272,0.38890872965260415
1,E3-G4OM-EBFT,E3,"E3: Prompt, Label",GPT-4o-mini + EBFT,gpt-4o-mini,ELECTRA Base FT,"Prompt, Label",82.74,83.35,86.5,86.44,76.19,76.53,71.72,80.54,$9.73,$0.1176,0,3.0,$0.00,$9.73,82.5,83.13499999999999,86.39500000000001,86.345,75.33,75.695,70.875,80.34,0.33941125496953556,0.3040559159102052,0.1484924240491756,0.13435028842544242,1.216223663640861,1.1808683245815306,1.1950104602052638,0.28284271247462306
1,E13-G4OM-ELFT,E4,"E4: Prompt, Label",GPT-4o-mini + ELFT,gpt-4o-mini,ELECTRA Large FT,"Prompt, Label",83.49,84.21,87.52,87.47,77.94,78.47,70.99,80.77,$53.26,$0.6379,0,3.0,$0.00,$53.26,83.79499999999999,84.47,87.71000000000001,87.65,78.72999999999999,79.16499999999999,71.765,81.02,0.4313351365237986,0.36769552621701196,0.2687005768508899,0.25455844122715166,1.117228714274749,0.9828784258493065,1.0960155108391567,0.3535533905932738
1,E15-G4OM-ELFT-EX,E5,"E5: Prompt, Label, Examples",GPT-4o-mini + ELFT,gpt-4o-mini,ELECTRA Large FT,"Prompt, Label, Examples (Few shot)",83.2,83.8,86.74,86.64,78.71,79.03,71.98,80.72,$53.26,$0.6401,0,3.0,$0.00,$53.26,83.41499999999999,83.99000000000001,86.935,86.83500000000001,79.5,79.795,72.33000000000001,80.72,0.30405591591021525,0.2687005768508899,0.2757716446627489,0.2757716446627489,1.117228714274754,1.0818733752154186,0.49497474683058024,0.0
1,E19-G4OM-ELFT-BEX,E6,"E6: Prompt, Label, Balanced Ex.",GPT-4o-mini + ELFT,gpt-4o-mini,ELECTRA Large FT,"Prompt, Label, Balanced Ex. (Few shot)",82.68,83.28,85.84,85.69,79.61,80.0,71.45,80.41,$53.26,$0.6442,0,3.0,$0.00,$53.26,82.98,83.545,86.275,86.13499999999999,79.86500000000001,80.21000000000001,71.98,80.41,0.42426406871192446,0.37476659402887097,0.6151828996322845,0.6293250352560328,0.3606244584051378,0.29698484809834613,0.7495331880577419,0.0
