review,classification,prediction,match,source
I had called in advance to see if they offered non-dairy milk and was told they had soy and almond...Yasss!,positive,positive,True,dynasent_r1
EVERY SINGLE ITEM WAS INEDIBLE.,negative,negative,True,dynasent_r1
Rooms are small.,negative,negative,True,dynasent_r1
"Without resorting to hyperbole , I can state that Kissing Jessica Stein may be the best same-sex romance I have seen .",positive,positive,True,sst_local
Used a $12 Groupon deal (to cover $20 meal).,neutral,neutral,True,dynasent_r1
An endearingly offbeat romantic comedy with a great meet-cute gimmick .,positive,positive,True,sst_local
Came to Vegas for our 1 year anniversary.,neutral,neutral,True,dynasent_r1
When I first got this company for my house for cable I was very happy.,positive,positive,True,dynasent_r1
There's not a whole lot to say about this place other than the fact that you should already be eating there.,positive,positive,True,dynasent_r1
"It did, however offer up a fun variety of cougars and possums, though!",positive,positive,True,dynasent_r1
this story.,neutral,neutral,True,dynasent_r1
How is possible?,neutral,neutral,True,dynasent_r1
"She answered the phone by saying ""yeah?"".",negative,neutral,False,dynasent_r1
"For its seriousness , high literary aspirations and stunning acting , the film can only be applauded .",positive,positive,True,sst_local
I glanced one look down the dress and up at the full length mirror and just sobbed.,negative,negative,True,dynasent_r1
We are staying at a hotel on King Street.,neutral,neutral,True,dynasent_r1
"I'm currently being treated at Jackson Physical Therapy for an injury sustained during the Las Vegas Route 91 Shooting on October 1, 2017.",neutral,neutral,True,dynasent_r1
It's a shame the former shop and owner were always someone and somewhere I could bring my pet.,negative,negative,True,dynasent_r1
"Now, I could be wrong, but isn't it the insurance agents job to make you feel like you are being taken care of?",negative,neutral,False,dynasent_r1
"I had been to Brake Masters before, but never this location.",neutral,neutral,True,dynasent_r1
"Parking was so easy, too easy in fact.",positive,positive,True,dynasent_r1
Shoved the lower tier members aside.,negative,negative,True,dynasent_r2
We had the beet tartare to start.,neutral,neutral,True,dynasent_r1
"Th food was also very cold, as it's ice cream.",neutral,neutral,True,dynasent_r2
"Yeah , these flicks are just that damn good .",positive,positive,True,sst_local
#FlawlessLifeSTyle,neutral,neutral,True,dynasent_r1
"Not as distinctive or even as humorous as its needs to be to stand out , but it has clearly been made with affection and care .",neutral,neutral,True,sst_local
I booked a Go Deluxe room back in March for July 18 - 21.,neutral,neutral,True,dynasent_r1
It would have benefitted the dialogue .,neutral,neutral,True,sst_local
"A gorgeous , somnolent show that is splendidly mummified and thoroughly unsurprising .",neutral,positive,False,sst_local
Way better for sure!,positive,positive,True,dynasent_r1
The staff here are definitely not afraid of arguing/lashing out at customers.,negative,negative,True,dynasent_r1
Other reviews mention that the service is bad or rude.,negative,negative,True,dynasent_r1
It 's a movie -- and an album -- you wo n't want to miss .,positive,positive,True,sst_local
"So this is my official first review on Yelp, I use yelp all the time but never really felt like writing a review until now!",neutral,neutral,True,dynasent_r1
Personalization: Using the customer's name is very effective in producing loyalty.,neutral,positive,False,dynasent_r1
Only two words will tell you what you know when deciding to see it : Anthony .,neutral,neutral,True,sst_local
So we went back to Best Buy but here in Las Vegas and I was nervous Because it had been more than 30days.,neutral,neutral,True,dynasent_r1
A ponderous meditation on love that feels significantly longer than its relatively scant 97 minutes .,neutral,neutral,True,sst_local
Last time I went in was about a year ago and the layout was very big and open like they didn't have a lot of merchandise out on the floor.,negative,neutral,False,dynasent_r1
"Unfortunately , Heartbreak Hospital wants to convey the same kind of haughtiness in its own sketchy material but this territory has already been explored previously with better aplomb and sardonic wit .",negative,negative,True,sst_local
Anything is possible.,neutral,neutral,True,dynasent_r1
... Hudlin is stuck trying to light a fire with soggy leaves .,negative,negative,True,sst_local
The film overcomes the regular minefield of coming-of-age cliches with potent doses of honesty and sensitivity .,positive,positive,True,sst_local
"The thriller side of this movie is falling flat , as the stalker does n't do much stalking , and no cop or lawyer grasps the concept of actually investigating the case .",negative,negative,True,sst_local
I reached out to Hillside via Yelp's message system.,neutral,neutral,True,dynasent_r1
I made reservations for a bigger party (14 people) and had these reservations well over one month in advance.,neutral,neutral,True,dynasent_r1
"I was in a hit and run around X-Mas, cops told me I could keep my car on the road til I got it to a repair shop, car was towed HOURS after my accident, I couldn't do much being on a bed recovering.",negative,neutral,False,dynasent_r1
Mr. Wedge and Mr. Saldanha handle the mix of verbal jokes and slapstick well .,positive,positive,True,sst_local
Place was fairly empty but the bartender Charles was friendly and attentive.,positive,positive,True,dynasent_r1
Life is full of surprises and miracles.,neutral,positive,False,dynasent_r2
"Other lash studios put on lashes that were too heavy for my lashes, as well as glue that irritated my eyes.",negative,negative,True,dynasent_r1
We sat down and got two baskets of chips and salsa. tasty,positive,positive,True,dynasent_r2
Then on Sunday at 10am received a text saying delivered.,neutral,neutral,True,dynasent_r1
A candid and often fascinating documentary about a Pentecostal church in Dallas that assembles an elaborate haunted house each year to scare teenagers into attending services .,positive,positive,True,sst_local
"4 friends , 2 couples , 2000 miles , and all the Pabst Blue Ribbon beer they can drink - it 's the ultimate redneck road-trip .",positive,neutral,False,sst_local
"Previous visits merited satisfied customers, including my friend's fiancee who is notoriously hard to please (he's not so much picky as a perfectionist with high expectations for quality food).",positive,positive,True,dynasent_r1
Or email info@Geaughahumain.org.,neutral,neutral,True,dynasent_r1
Adam Sandler is to Gary Cooper what a gnat is to a racehorse .,negative,negative,True,sst_local
Spielberg is the rare director who does not want to invite viewers to gawk at or applaud his special effects .,neutral,positive,False,sst_local
I keep mine outside.,neutral,neutral,True,dynasent_r1
"We ate dinner here, ordered a salad and chicken, the chicken came out slightly undercooked, we told Jonathan, our waiter, and he took it back.",negative,positive,False,dynasent_r1
Calamari was chewy.,negative,negative,True,dynasent_r1
I'll start off by saying the atmosphere is not for everyone.,negative,negative,True,dynasent_r1
