review,classification,prediction,match,classifier_decision,probabilities,source
I had called in advance to see if they offered non-dairy milk and was told they had soy and almond...Yasss!,positive,positive,True,positive,"[0.02274428680539131, 0.21452762186527252, 0.7627281546592712]",dynasent_r1
EVERY SINGLE ITEM WAS INEDIBLE.,negative,negative,True,negative,"[0.99940025806427, 0.0002030428877333179, 0.00039677490713074803]",dynasent_r1
Rooms are small.,negative,negative,True,negative,"[0.9979056119918823, 0.0017770513659343123, 0.0003173636505380273]",dynasent_r1
"Without resorting to hyperbole , I can state that Kissing Jessica Stein may be the best same-sex romance I have seen .",positive,positive,True,positive,"[3.267246938776225e-05, 1.8973973055835813e-05, 0.9999483823776245]",sst_local
Used a $12 Groupon deal (to cover $20 meal).,neutral,neutral,True,neutral,"[4.693959272117354e-05, 0.992917537689209, 0.007035596761852503]",dynasent_r1
An endearingly offbeat romantic comedy with a great meet-cute gimmick .,positive,positive,True,positive,"[1.7209214320246247e-07, 0.0003435926919337362, 0.9996563196182251]",sst_local
Came to Vegas for our 1 year anniversary.,neutral,neutral,True,neutral,"[6.01712308707647e-05, 0.9565691351890564, 0.04337069392204285]",dynasent_r1
When I first got this company for my house for cable I was very happy.,positive,positive,True,positive,"[3.6935739444743376e-07, 4.320548760006204e-05, 0.999956488609314]",dynasent_r1
There's not a whole lot to say about this place other than the fact that you should already be eating there.,positive,positive,True,positive,"[0.27228978276252747, 0.08373477309942245, 0.6439754366874695]",dynasent_r1
"It did, however offer up a fun variety of cougars and possums, though!",positive,positive,True,positive,"[0.002579929307103157, 0.0068103475496172905, 0.9906097054481506]",dynasent_r1
this story.,neutral,neutral,True,neutral,"[0.00020848990243393928, 0.9905202388763428, 0.009271319024264812]",dynasent_r1
How is possible?,neutral,neutral,True,neutral,"[0.014744263142347336, 0.9406605958938599, 0.04459518939256668]",dynasent_r1
"She answered the phone by saying ""yeah?"".",negative,neutral,False,neutral,"[0.00046142679639160633, 0.9791111350059509, 0.020427456125617027]",dynasent_r1
"For its seriousness , high literary aspirations and stunning acting , the film can only be applauded .",positive,positive,True,positive,"[2.7569888061407255e-07, 0.00023097041412256658, 0.9997687935829163]",sst_local
I glanced one look down the dress and up at the full length mirror and just sobbed.,negative,negative,True,negative,"[0.9617539048194885, 0.035920657217502594, 0.002325469860807061]",dynasent_r1
We are staying at a hotel on King Street.,neutral,neutral,True,neutral,"[6.377222598530352e-05, 0.9838325381278992, 0.016103699803352356]",dynasent_r1
