review,classification,prediction,match,classifier_decision,probabilities,source
I had called in advance to see if they offered non-dairy milk and was told they had soy and almond...Yasss!,positive,positive,True,positive,"[0.00011563008592929691, 0.03779500722885132, 0.9620893597602844]",dynasent_r1
EVERY SINGLE ITEM WAS INEDIBLE.,negative,negative,True,negative,"[0.9988052845001221, 0.0007424316136166453, 0.0004523199168033898]",dynasent_r1
Rooms are small.,negative,negative,True,negative,"[0.9984838366508484, 0.0008968536858446896, 0.0006192818400450051]",dynasent_r1
"Without resorting to hyperbole , I can state that Kissing Jessica Stein may be the best same-sex romance I have seen .",positive,positive,True,positive,"[7.254364027176052e-05, 9.214339661411941e-05, 0.9998352527618408]",sst_local
Used a $12 Groupon deal (to cover $20 meal).,neutral,neutral,True,neutral,"[0.0002986624895129353, 0.9815502166748047, 0.018151139840483665]",dynasent_r1
An endearingly offbeat romantic comedy with a great meet-cute gimmick .,positive,positive,True,positive,"[2.4190832846215926e-05, 0.0028396134730428457, 0.997136116027832]",sst_local
Came to Vegas for our 1 year anniversary.,neutral,neutral,True,neutral,"[0.00016338321438524872, 0.9347648620605469, 0.0650717243552208]",dynasent_r1
When I first got this company for my house for cable I was very happy.,positive,positive,True,positive,"[0.00016011649859137833, 0.0003948103985749185, 0.9994450211524963]",dynasent_r1
There's not a whole lot to say about this place other than the fact that you should already be eating there.,positive,positive,True,positive,"[0.0014549304032698274, 0.0036963149905204773, 0.9948487877845764]",dynasent_r1
"It did, however offer up a fun variety of cougars and possums, though!",positive,positive,True,positive,"[0.0059952568262815475, 0.05022314563393593, 0.9437815546989441]",dynasent_r1
this story.,neutral,neutral,True,neutral,"[0.007066668942570686, 0.9626809358596802, 0.030252408236265182]",dynasent_r1
How is possible?,neutral,neutral,True,neutral,"[0.019992714747786522, 0.9609718918800354, 0.019035447388887405]",dynasent_r1
"She answered the phone by saying ""yeah?"".",negative,neutral,False,neutral,"[0.009140947833657265, 0.975822925567627, 0.015036184340715408]",dynasent_r1
"For its seriousness , high literary aspirations and stunning acting , the film can only be applauded .",positive,positive,True,positive,"[2.9724082196480595e-05, 0.00010902428766712546, 0.9998612403869629]",sst_local
I glanced one look down the dress and up at the full length mirror and just sobbed.,negative,negative,True,negative,"[0.8101478815078735, 0.1652117371559143, 0.024640364572405815]",dynasent_r1
